npy_path,emotion
./data_with_wav\openl3_embedding\Exit_Music_(For_A_Film)_0.npy,sad
./data_with_wav\openl3_embedding\Exit_Music_(For_A_Film)_1.npy,sad
./data_with_wav\openl3_embedding\Exit_Music_(For_A_Film)_2.npy,sad
./data_with_wav\openl3_embedding\listen_before_i_go_0.npy,sad
./data_with_wav\openl3_embedding\listen_before_i_go_1.npy,sad
./data_with_wav\openl3_embedding\listen_before_i_go_2.npy,sad
./data_with_wav\openl3_embedding\if_you_love_me_0.npy,sad
./data_with_wav\openl3_embedding\if_you_love_me_1.npy,sad
./data_with_wav\openl3_embedding\if_you_love_me_2.npy,sad
./data_with_wav\openl3_embedding\Advice_0.npy,sad
./data_with_wav\openl3_embedding\Advice_1.npy,sad
./data_with_wav\openl3_embedding\Advice_2.npy,sad
./data_with_wav\openl3_embedding\Talk_2_Me_0.npy,sad
./data_with_wav\openl3_embedding\Talk_2_Me_1.npy,sad
./data_with_wav\openl3_embedding\Talk_2_Me_2.npy,sad
./data_with_wav\openl3_embedding\Green_0.npy,sad
./data_with_wav\openl3_embedding\Green_1.npy,sad
./data_with_wav\openl3_embedding\Green_2.npy,sad
./data_with_wav\openl3_embedding\Twin_Size_Mattress_0.npy,sad
./data_with_wav\openl3_embedding\Twin_Size_Mattress_1.npy,sad
./data_with_wav\openl3_embedding\Twin_Size_Mattress_2.npy,sad
./data_with_wav\openl3_embedding\Everything_Reminds_Me_Of_Her_0.npy,sad
./data_with_wav\openl3_embedding\Everything_Reminds_Me_Of_Her_1.npy,sad
./data_with_wav\openl3_embedding\Everything_Reminds_Me_Of_Her_2.npy,sad
./data_with_wav\openl3_embedding\Strange_0.npy,sad
./data_with_wav\openl3_embedding\Strange_1.npy,sad
./data_with_wav\openl3_embedding\Strange_2.npy,sad
./data_with_wav\openl3_embedding\Hometown_Glory_0.npy,sad
./data_with_wav\openl3_embedding\Hometown_Glory_1.npy,sad
./data_with_wav\openl3_embedding\Hometown_Glory_2.npy,sad
./data_with_wav\openl3_embedding\Curl_up_&_Die_0.npy,sad
./data_with_wav\openl3_embedding\Curl_up_&_Die_1.npy,sad
./data_with_wav\openl3_embedding\Curl_up_&_Die_2.npy,sad
./data_with_wav\openl3_embedding\i_love_you_0.npy,sad
./data_with_wav\openl3_embedding\i_love_you_1.npy,sad
./data_with_wav\openl3_embedding\i_love_you_2.npy,sad
./data_with_wav\openl3_embedding\Touch_0.npy,sad
./data_with_wav\openl3_embedding\Touch_1.npy,sad
./data_with_wav\openl3_embedding\Touch_2.npy,sad
./data_with_wav\openl3_embedding\Heal_0.npy,sad
./data_with_wav\openl3_embedding\Heal_1.npy,sad
./data_with_wav\openl3_embedding\Heal_2.npy,sad
./data_with_wav\openl3_embedding\My_Little_Love_0.npy,sad
./data_with_wav\openl3_embedding\My_Little_Love_1.npy,sad
./data_with_wav\openl3_embedding\My_Little_Love_2.npy,sad
./data_with_wav\openl3_embedding\Black_Beauty_0.npy,sad
./data_with_wav\openl3_embedding\Black_Beauty_1.npy,sad
./data_with_wav\openl3_embedding\Black_Beauty_2.npy,sad
./data_with_wav\openl3_embedding\Electro-Shock_Blues_0.npy,sad
./data_with_wav\openl3_embedding\Electro-Shock_Blues_1.npy,sad
./data_with_wav\openl3_embedding\Electro-Shock_Blues_2.npy,sad
./data_with_wav\openl3_embedding\Strange_Time_0.npy,sad
./data_with_wav\openl3_embedding\Strange_Time_1.npy,sad
./data_with_wav\openl3_embedding\Strange_Time_2.npy,sad
./data_with_wav\openl3_embedding\Not_About_Angels_0.npy,sad
./data_with_wav\openl3_embedding\Not_About_Angels_1.npy,sad
./data_with_wav\openl3_embedding\Not_About_Angels_2.npy,sad
./data_with_wav\openl3_embedding\Mr._Forgettable_0.npy,sad
./data_with_wav\openl3_embedding\Mr._Forgettable_1.npy,sad
./data_with_wav\openl3_embedding\Mr._Forgettable_2.npy,sad
./data_with_wav\openl3_embedding\Don't_Give_Up_0.npy,sad
./data_with_wav\openl3_embedding\Don't_Give_Up_1.npy,sad
./data_with_wav\openl3_embedding\Don't_Give_Up_2.npy,sad
./data_with_wav\openl3_embedding\the_coward_0.npy,sad
./data_with_wav\openl3_embedding\the_coward_1.npy,sad
./data_with_wav\openl3_embedding\the_coward_2.npy,sad
./data_with_wav\openl3_embedding\You're_Somebody_Else_0.npy,sad
./data_with_wav\openl3_embedding\You're_Somebody_Else_1.npy,sad
./data_with_wav\openl3_embedding\You're_Somebody_Else_2.npy,sad
./data_with_wav\openl3_embedding\Only_0.npy,sad
./data_with_wav\openl3_embedding\Only_1.npy,sad
./data_with_wav\openl3_embedding\Only_2.npy,sad
./data_with_wav\openl3_embedding\Bruises_0.npy,sad
./data_with_wav\openl3_embedding\Bruises_1.npy,sad
./data_with_wav\openl3_embedding\Bruises_2.npy,sad
./data_with_wav\openl3_embedding\Vas_0.npy,sad
./data_with_wav\openl3_embedding\Vas_1.npy,sad
./data_with_wav\openl3_embedding\Vas_2.npy,sad
./data_with_wav\openl3_embedding\As_the_World_Caves_In_0.npy,sad
./data_with_wav\openl3_embedding\As_the_World_Caves_In_1.npy,sad
./data_with_wav\openl3_embedding\As_the_World_Caves_In_2.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_-_Acoustic_0.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_-_Acoustic_1.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_-_Acoustic_2.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_0.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_1.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_2.npy,sad
./data_with_wav\openl3_embedding\Find_me_a_corner_0.npy,sad
./data_with_wav\openl3_embedding\Find_me_a_corner_1.npy,sad
./data_with_wav\openl3_embedding\Find_me_a_corner_2.npy,sad
./data_with_wav\openl3_embedding\Rosyln_0.npy,sad
./data_with_wav\openl3_embedding\Rosyln_1.npy,sad
./data_with_wav\openl3_embedding\Rosyln_2.npy,sad
"./data_with_wav\openl3_embedding\Lover,_You_Should've_Come_Over_0.npy",sad
"./data_with_wav\openl3_embedding\Lover,_You_Should've_Come_Over_1.npy",sad
"./data_with_wav\openl3_embedding\Lover,_You_Should've_Come_Over_2.npy",sad
./data_with_wav\openl3_embedding\Goodbye_Evergreen_0.npy,sad
./data_with_wav\openl3_embedding\Goodbye_Evergreen_1.npy,sad
./data_with_wav\openl3_embedding\Goodbye_Evergreen_2.npy,sad
"./data_with_wav\openl3_embedding\Think_Of_Me_Once_In_A_While,_Take_Care_0.npy",sad
"./data_with_wav\openl3_embedding\Think_Of_Me_Once_In_A_While,_Take_Care_1.npy",sad
"./data_with_wav\openl3_embedding\Think_Of_Me_Once_In_A_While,_Take_Care_2.npy",sad
./data_with_wav\openl3_embedding\Beautiful_Things_-_Acoustic_0.npy,sad
./data_with_wav\openl3_embedding\Beautiful_Things_-_Acoustic_1.npy,sad
./data_with_wav\openl3_embedding\Beautiful_Things_-_Acoustic_2.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_0.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_1.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_2.npy,sad
./data_with_wav\openl3_embedding\Stick_Season_0.npy,sad
./data_with_wav\openl3_embedding\Stick_Season_1.npy,sad
./data_with_wav\openl3_embedding\Stick_Season_2.npy,sad
./data_with_wav\openl3_embedding\My_Love_Mine_All_Mine_0.npy,sad
./data_with_wav\openl3_embedding\My_Love_Mine_All_Mine_1.npy,sad
./data_with_wav\openl3_embedding\My_Love_Mine_All_Mine_2.npy,sad
./data_with_wav\openl3_embedding\Daylight_0.npy,sad
./data_with_wav\openl3_embedding\Daylight_1.npy,sad
./data_with_wav\openl3_embedding\Daylight_2.npy,sad
./data_with_wav\openl3_embedding\One_Last_Song_0.npy,sad
./data_with_wav\openl3_embedding\One_Last_Song_1.npy,sad
./data_with_wav\openl3_embedding\One_Last_Song_2.npy,sad
./data_with_wav\openl3_embedding\Yellow_0.npy,sad
./data_with_wav\openl3_embedding\Yellow_1.npy,sad
./data_with_wav\openl3_embedding\Yellow_2.npy,sad
./data_with_wav\openl3_embedding\I_Remember_Everything_(feat._Kacey_Musgraves)_0.npy,sad
./data_with_wav\openl3_embedding\I_Remember_Everything_(feat._Kacey_Musgraves)_1.npy,sad
./data_with_wav\openl3_embedding\I_Remember_Everything_(feat._Kacey_Musgraves)_2.npy,sad
./data_with_wav\openl3_embedding\vampire_0.npy,sad
./data_with_wav\openl3_embedding\vampire_1.npy,sad
./data_with_wav\openl3_embedding\vampire_2.npy,sad
./data_with_wav\openl3_embedding\7_Years_0.npy,sad
./data_with_wav\openl3_embedding\7_Years_1.npy,sad
./data_with_wav\openl3_embedding\7_Years_2.npy,sad
./data_with_wav\openl3_embedding\SNAP_0.npy,sad
./data_with_wav\openl3_embedding\SNAP_1.npy,sad
./data_with_wav\openl3_embedding\SNAP_2.npy,sad
./data_with_wav\openl3_embedding\lovely_(with_Khalid)_0.npy,sad
./data_with_wav\openl3_embedding\lovely_(with_Khalid)_1.npy,sad
./data_with_wav\openl3_embedding\lovely_(with_Khalid)_2.npy,sad
./data_with_wav\openl3_embedding\ceilings_0.npy,sad
./data_with_wav\openl3_embedding\ceilings_1.npy,sad
./data_with_wav\openl3_embedding\ceilings_2.npy,sad
./data_with_wav\openl3_embedding\drivers_license_0.npy,sad
./data_with_wav\openl3_embedding\drivers_license_1.npy,sad
./data_with_wav\openl3_embedding\drivers_license_2.npy,sad
./data_with_wav\openl3_embedding\Scared_To_Start_0.npy,sad
./data_with_wav\openl3_embedding\Scared_To_Start_1.npy,sad
./data_with_wav\openl3_embedding\Scared_To_Start_2.npy,sad
./data_with_wav\openl3_embedding\See_You_Again_(feat._Charlie_Puth)_0.npy,sad
./data_with_wav\openl3_embedding\See_You_Again_(feat._Charlie_Puth)_1.npy,sad
./data_with_wav\openl3_embedding\See_You_Again_(feat._Charlie_Puth)_2.npy,sad
./data_with_wav\openl3_embedding\Money_0.npy,sad
./data_with_wav\openl3_embedding\Money_1.npy,sad
./data_with_wav\openl3_embedding\Money_2.npy,sad
./data_with_wav\openl3_embedding\I_Fall_Apart_0.npy,sad
./data_with_wav\openl3_embedding\I_Fall_Apart_1.npy,sad
./data_with_wav\openl3_embedding\I_Fall_Apart_2.npy,sad
./data_with_wav\openl3_embedding\changes_0.npy,sad
./data_with_wav\openl3_embedding\changes_1.npy,sad
./data_with_wav\openl3_embedding\changes_2.npy,sad
./data_with_wav\openl3_embedding\Never_Felt_So_Alone_0.npy,sad
./data_with_wav\openl3_embedding\Never_Felt_So_Alone_1.npy,sad
./data_with_wav\openl3_embedding\Never_Felt_So_Alone_2.npy,sad
./data_with_wav\openl3_embedding\Sensation_0.npy,sad
./data_with_wav\openl3_embedding\Sensation_1.npy,sad
./data_with_wav\openl3_embedding\Sensation_2.npy,sad
./data_with_wav\openl3_embedding\Glimpse_of_Us_0.npy,sad
./data_with_wav\openl3_embedding\Glimpse_of_Us_1.npy,sad
./data_with_wav\openl3_embedding\Glimpse_of_Us_2.npy,sad
./data_with_wav\openl3_embedding\Mockingbird_0.npy,sad
./data_with_wav\openl3_embedding\Mockingbird_1.npy,sad
./data_with_wav\openl3_embedding\Mockingbird_2.npy,sad
./data_with_wav\openl3_embedding\Winter_Waltz_0.npy,sad
./data_with_wav\openl3_embedding\Winter_Waltz_1.npy,sad
./data_with_wav\openl3_embedding\Winter_Waltz_2.npy,sad
./data_with_wav\openl3_embedding\People_0.npy,sad
./data_with_wav\openl3_embedding\People_1.npy,sad
./data_with_wav\openl3_embedding\People_2.npy,sad
./data_with_wav\openl3_embedding\Until_I_Found_You_-_Piano_Version_0.npy,sad
./data_with_wav\openl3_embedding\Until_I_Found_You_-_Piano_Version_1.npy,sad
./data_with_wav\openl3_embedding\Until_I_Found_You_-_Piano_Version_2.npy,sad
./data_with_wav\openl3_embedding\When_You're_Holding_Me_Tight_0.npy,sad
./data_with_wav\openl3_embedding\When_You're_Holding_Me_Tight_1.npy,sad
./data_with_wav\openl3_embedding\When_You're_Holding_Me_Tight_2.npy,sad
./data_with_wav\openl3_embedding\All_of_Me_0.npy,sad
./data_with_wav\openl3_embedding\All_of_Me_1.npy,sad
./data_with_wav\openl3_embedding\All_of_Me_2.npy,sad
./data_with_wav\openl3_embedding\Wisconsin_Winter_0.npy,sad
./data_with_wav\openl3_embedding\Wisconsin_Winter_1.npy,sad
./data_with_wav\openl3_embedding\Wisconsin_Winter_2.npy,sad
./data_with_wav\openl3_embedding\Someone_You_Loved_0.npy,sad
./data_with_wav\openl3_embedding\Someone_You_Loved_1.npy,sad
./data_with_wav\openl3_embedding\Someone_You_Loved_2.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_0.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_1.npy,sad
./data_with_wav\openl3_embedding\Where's_My_Love_2.npy,sad
./data_with_wav\openl3_embedding\My_Entertainer_0.npy,sad
./data_with_wav\openl3_embedding\My_Entertainer_1.npy,sad
./data_with_wav\openl3_embedding\My_Entertainer_2.npy,sad
./data_with_wav\openl3_embedding\Nobody_Gets_Me_0.npy,sad
./data_with_wav\openl3_embedding\Nobody_Gets_Me_1.npy,sad
./data_with_wav\openl3_embedding\Nobody_Gets_Me_2.npy,sad
./data_with_wav\openl3_embedding\The_Stages_of_Grief_0.npy,sad
./data_with_wav\openl3_embedding\The_Stages_of_Grief_1.npy,sad
./data_with_wav\openl3_embedding\The_Stages_of_Grief_2.npy,sad
./data_with_wav\openl3_embedding\Wait_0.npy,sad
./data_with_wav\openl3_embedding\Wait_1.npy,sad
./data_with_wav\openl3_embedding\Wait_2.npy,sad
./data_with_wav\openl3_embedding\Medusa_0.npy,sad
./data_with_wav\openl3_embedding\Medusa_1.npy,sad
./data_with_wav\openl3_embedding\Medusa_2.npy,sad
./data_with_wav\openl3_embedding\Past_Lives_0.npy,sad
./data_with_wav\openl3_embedding\Past_Lives_1.npy,sad
./data_with_wav\openl3_embedding\Past_Lives_2.npy,sad
./data_with_wav\openl3_embedding\Arcade_0.npy,sad
./data_with_wav\openl3_embedding\Arcade_1.npy,sad
./data_with_wav\openl3_embedding\Arcade_2.npy,sad
./data_with_wav\openl3_embedding\Ghost_0.npy,sad
./data_with_wav\openl3_embedding\Ghost_1.npy,sad
./data_with_wav\openl3_embedding\Ghost_2.npy,sad
./data_with_wav\openl3_embedding\Birds_0.npy,sad
./data_with_wav\openl3_embedding\Birds_1.npy,sad
./data_with_wav\openl3_embedding\Birds_2.npy,sad
./data_with_wav\openl3_embedding\Hole_Song_0.npy,sad
./data_with_wav\openl3_embedding\Hole_Song_1.npy,sad
./data_with_wav\openl3_embedding\Hole_Song_2.npy,sad
./data_with_wav\openl3_embedding\Let_Me_Down_Slowly_0.npy,sad
./data_with_wav\openl3_embedding\Let_Me_Down_Slowly_1.npy,sad
./data_with_wav\openl3_embedding\Let_Me_Down_Slowly_2.npy,sad
./data_with_wav\openl3_embedding\Here_With_Me_0.npy,sad
./data_with_wav\openl3_embedding\Here_With_Me_1.npy,sad
./data_with_wav\openl3_embedding\Here_With_Me_2.npy,sad
./data_with_wav\openl3_embedding\The_One_You'll_Never_Hurt_0.npy,sad
./data_with_wav\openl3_embedding\The_One_You'll_Never_Hurt_1.npy,sad
./data_with_wav\openl3_embedding\The_One_You'll_Never_Hurt_2.npy,sad
./data_with_wav\openl3_embedding\THE_LONELIEST_0.npy,sad
./data_with_wav\openl3_embedding\THE_LONELIEST_1.npy,sad
./data_with_wav\openl3_embedding\THE_LONELIEST_2.npy,sad
./data_with_wav\openl3_embedding\A.T.M._(All_The_Money)_0.npy,sad
./data_with_wav\openl3_embedding\A.T.M._(All_The_Money)_1.npy,sad
./data_with_wav\openl3_embedding\A.T.M._(All_The_Money)_2.npy,sad
